Word,Frequency,Percentage
the,8791,3.829567%
and,7868,3.427486%
to,5741,2.500915%
a,4699,2.046995%
he,4598,2.002997%
i,4245,1.849222%
you,3852,1.678022%
of,3747,1.632281%
it,3643,1.586977%
in,3528,1.536880%
that,3298,1.436686%
was,2910,1.267665%
s,2340,1.019359%
his,2194,0.955758%
with,1861,0.810695%
but,1853,0.807210%
for,1837,0.800240%
her,1812,0.789350%
at,1798,0.783251%
not,1797,0.782816%
all,1679,0.731412%
him,1630,0.710066%
as,1611,0.701790%
she,1570,0.683929%
on,1538,0.669989%
is,1421,0.619021%
had,1396,0.608130%
so,1237,0.538866%
what,1227,0.534510%
t,1196,0.521006%
be,1110,0.483542%
me,1095,0.477008%
this,1078,0.469602%
there,975,0.424733%
from,968,0.421684%
even,950,0.413842%
if,937,0.408179%
out,918,0.399902%
have,914,0.398160%
they,819,0.356776%
raskolnikov,801,0.348934%
now,798,0.347628%
my,794,0.345885%
one,763,0.332381%
no,753,0.328025%
by,708,0.308421%
were,707,0.307986%
about,666,0.290125%
your,635,0.276621%
then,631,0.274878%
up,628,0.273572%
them,625,0.272265%
or,605,0.263552%
do,595,0.259196%
some,587,0.255711%
an,587,0.255711%
would,577,0.251355%
are,559,0.243514%
ll,556,0.242207%
did,544,0.236979%
just,544,0.236979%
how,541,0.235672%
suddenly,540,0.235237%
time,524,0.228267%
here,518,0.225653%
well,517,0.225217%
been,505,0.219990%
who,502,0.218683%
man,499,0.217376%
only,486,0.211713%
himself,483,0.210406%
know,473,0.206050%
could,471,0.205179%
more,450,0.196031%
will,449,0.195595%
said,442,0.192546%
go,436,0.189932%
sir,436,0.189932%
we,433,0.188625%
come,431,0.187754%
don,425,0.185140%
can,424,0.184704%
like,423,0.184269%
why,420,0.182962%
very,411,0.179041%
again,410,0.178606%
into,402,0.175121%
when,398,0.173378%
little,391,0.170329%
such,390,0.169893%
something,390,0.169893%
sonya,389,0.169458%
see,384,0.167279%
m,378,0.164666%
went,369,0.160745%
razumikhin,361,0.157260%
because,359,0.156389%
re,357,0.155518%
down,351,0.152904%
once,347,0.151161%
thought,345,0.150290%
too,343,0.149419%
came,334,0.145498%
over,333,0.145063%
still,331,0.144191%
right,325,0.141578%
which,325,0.141578%
same,323,0.140706%
ivanovna,318,0.138528%
way,316,0.137657%
much,316,0.137657%
two,310,0.135043%
away,308,0.134172%
ve,299,0.130251%
began,294,0.128073%
petrovich,293,0.127638%
also,285,0.124153%
moment,279,0.121539%
everything,279,0.121539%
whole,278,0.121103%
say,273,0.118925%
first,267,0.116311%
has,265,0.115440%
eyes,264,0.115005%
quite,262,0.114133%
before,261,0.113698%
almost,258,0.112391%
other,256,0.111520%
where,253,0.110213%
after,253,0.110213%
without,250,0.108906%
any,249,0.108470%
already,247,0.107599%
back,247,0.107599%
look,243,0.105857%
looked,241,0.104985%
room,238,0.103678%
their,237,0.103243%
take,236,0.102807%
get,236,0.102807%
going,234,0.101936%
nothing,232,0.101065%
though,230,0.100193%
am,229,0.099758%
dunya,227,0.098887%
door,227,0.098887%
katerina,226,0.098451%
tell,226,0.098451%
svidrigailov,222,0.096708%
people,221,0.096273%
most,220,0.095837%
face,218,0.094966%
let,218,0.094966%
old,217,0.094530%
good,216,0.094095%
myself,216,0.094095%
must,211,0.091917%
porfiry,211,0.091917%
yes,210,0.091481%
long,208,0.090610%
really,205,0.089303%
head,199,0.086689%
own,199,0.086689%
woman,198,0.086253%
looking,197,0.085818%
asked,196,0.085382%
want,193,0.084075%
than,192,0.083640%
around,190,0.082768%
turned,190,0.082768%
got,187,0.081462%
think,186,0.081026%
these,185,0.080590%
hand,184,0.080155%
thing,184,0.080155%
somehow,181,0.078848%
off,181,0.078848%
cried,181,0.078848%
pyotr,179,0.077977%
mother,179,0.077977%
took,177,0.077105%
anything,176,0.076670%
day,176,0.076670%
money,175,0.076234%
understand,175,0.076234%
god,174,0.075798%
seemed,173,0.075363%
never,172,0.074927%
perhaps,170,0.074056%
d,170,0.074056%
made,169,0.073620%
last,168,0.073185%
least,167,0.072749%
certain,165,0.071878%
left,165,0.071878%
yesterday,165,0.071878%
ah,164,0.071442%
us,161,0.070135%
being,161,0.070135%
herself,161,0.070135%
having,160,0.069700%
yet,160,0.069700%
course,158,0.068829%
yourself,156,0.067957%
finally,156,0.067957%
through,155,0.067522%
another,153,0.066650%
things,153,0.066650%
put,153,0.066650%
our,152,0.066215%
place,152,0.066215%
heh,150,0.065344%
stood,149,0.064908%
hands,149,0.064908%
brother,148,0.064472%
won,147,0.064037%
may,147,0.064037%
didn,143,0.062294%
life,143,0.062294%
sort,143,0.062294%
three,142,0.061859%
better,141,0.061423%
mind,140,0.060987%
simply,135,0.058809%
alone,134,0.058374%
however,134,0.058374%
both,133,0.057938%
house,133,0.057938%
sister,133,0.057938%
heart,133,0.057938%
gave,133,0.057938%
dear,132,0.057502%
might,132,0.057502%
leave,130,0.056631%
always,129,0.056195%
should,129,0.056195%
pulcheria,129,0.056195%
apartment,129,0.056195%
wanted,129,0.056195%
point,128,0.055760%
alexandrovna,128,0.055760%
everyone,128,0.055760%
new,128,0.055760%
give,127,0.055324%
strange,126,0.054889%
believe,126,0.054889%
while,125,0.054453%
case,125,0.054453%
since,125,0.054453%
enough,124,0.054017%
kept,121,0.052710%
became,121,0.052710%
oh,120,0.052275%
ask,120,0.052275%
rodya,120,0.052275%
indeed,120,0.052275%
table,119,0.051839%
avdotya,119,0.051839%
luzhin,119,0.051839%
romanovna,118,0.051404%
heard,118,0.051404%
girl,117,0.050968%
make,116,0.050532%
saw,116,0.050532%
felt,116,0.050532%
every,116,0.050532%
knew,115,0.050097%
told,115,0.050097%
those,115,0.050097%
especially,114,0.049661%
precisely,113,0.049225%
reason,113,0.049225%
end,113,0.049225%
children,112,0.048790%
word,112,0.048790%
each,111,0.048354%
sat,111,0.048354%
young,111,0.048354%
today,111,0.048354%
under,110,0.047919%
quickly,108,0.047047%
stairs,108,0.047047%
maybe,108,0.047047%
street,107,0.046612%
home,107,0.046612%
question,105,0.045740%
words,105,0.045740%
walked,104,0.045305%
dunechka,104,0.045305%
lying,104,0.045305%
soon,104,0.045305%
later,103,0.044869%
rodion,103,0.044869%
find,103,0.044869%
immediately,103,0.044869%
many,102,0.044434%
half,102,0.044434%
speak,102,0.044434%
five,100,0.043562%
afraid,100,0.043562%
remember,99,0.043127%
years,98,0.042691%
besides,98,0.042691%
stopped,98,0.042691%
great,97,0.042255%
standing,97,0.042255%
else,97,0.042255%
mean,97,0.042255%
somewhere,96,0.041820%
someone,96,0.041820%
voice,94,0.040949%
corner,92,0.040077%
drunk,92,0.040077%
added,92,0.040077%
zossimov,92,0.040077%
found,91,0.039642%
zamyotov,91,0.039642%
means,91,0.039642%
times,90,0.039206%
days,90,0.039206%
mr,89,0.038770%
coming,89,0.038770%
does,89,0.038770%
talking,88,0.038335%
open,88,0.038335%
petersburg,87,0.037899%
possible,87,0.037899%
live,87,0.037899%
pale,86,0.037464%
hear,86,0.037464%
saying,86,0.037464%
its,86,0.037464%
completely,85,0.037028%
feeling,85,0.037028%
far,85,0.037028%
done,85,0.037028%
straight,84,0.036592%
noticed,84,0.036592%
lord,84,0.036592%
sick,84,0.036592%
roubles,84,0.036592%
devil,83,0.036157%
seen,83,0.036157%
gone,83,0.036157%
terribly,83,0.036157%
true,83,0.036157%
love,82,0.035721%
fact,82,0.035721%
thinking,82,0.035721%
ago,82,0.035721%
started,82,0.035721%
part,81,0.035286%
shall,81,0.035286%
listen,81,0.035286%
behind,81,0.035286%
petrovna,81,0.035286%
matter,80,0.034850%
nastasya,80,0.034850%
steps,80,0.034850%
fell,80,0.034850%
sofya,80,0.034850%
short,80,0.034850%
night,79,0.034414%
need,79,0.034414%
marfa,79,0.034414%
anyone,79,0.034414%
longer,78,0.033979%
cannot,77,0.033543%
world,77,0.033543%
ten,77,0.033543%
eh,76,0.033107%
start,76,0.033107%
keep,76,0.033107%
sofa,75,0.032672%
blood,75,0.032672%
talk,75,0.032672%
semyonovna,75,0.032672%
help,74,0.032236%
towards,74,0.032236%
read,73,0.031801%
run,73,0.031801%
waiting,73,0.031801%
second,73,0.031801%
hour,73,0.031801%
sitting,72,0.031365%
terrible,72,0.031365%
become,72,0.031365%
brought,72,0.031365%
against,72,0.031365%
side,71,0.030929%
seems,71,0.030929%
landlady,70,0.030494%
dostoevsky,70,0.030494%
name,70,0.030494%
amalia,70,0.030494%
ran,70,0.030494%
next,70,0.030494%
business,70,0.030494%
minute,69,0.030058%
poor,69,0.030058%
silent,69,0.030058%
happened,69,0.030058%
sit,68,0.029622%
evening,68,0.029622%
remembered,68,0.029622%
lebezyatnikov,68,0.029622%
exclaimed,68,0.029622%
whom,68,0.029622%
turn,67,0.029187%
chair,67,0.029187%
morning,67,0.029187%
opened,67,0.029187%
father,67,0.029187%
letter,67,0.029187%
fear,67,0.029187%
window,66,0.028751%
angry,66,0.028751%
special,65,0.028316%
bit,65,0.028316%
upon,65,0.028316%
known,65,0.028316%
between,64,0.027880%
certainly,64,0.027880%
together,64,0.027880%
along,64,0.027880%
small,64,0.027880%
ever,64,0.027880%
clear,64,0.027880%
killed,64,0.027880%
wouldn,64,0.027880%
smile,64,0.027880%
axe,63,0.027444%
bed,63,0.027444%
sure,63,0.027444%
trembling,63,0.027444%
water,63,0.027444%
knows,63,0.027444%
former,63,0.027444%
decided,63,0.027444%
mama,62,0.027009%
tea,62,0.027009%
rather,62,0.027009%
either,62,0.027009%
purpose,62,0.027009%
russian,62,0.027009%
crime,62,0.027009%
full,61,0.026573%
nonsense,61,0.026573%
able,61,0.026573%
taking,61,0.026573%
lizaveta,61,0.026573%
hard,61,0.026573%
idea,61,0.026573%
laughing,61,0.026573%
floor,60,0.026137%
lost,60,0.026137%
answered,60,0.026137%
during,60,0.026137%
bad,60,0.026137%
dark,60,0.026137%
tried,59,0.025702%
taken,59,0.025702%
getting,59,0.025702%
hundred,59,0.025702%
please,59,0.025702%
itself,58,0.025266%
doesn,58,0.025266%
order,58,0.025266%
family,58,0.025266%
minutes,58,0.025266%
replied,58,0.025266%
twenty,57,0.024831%
struck,57,0.024831%
used,57,0.024831%
person,57,0.024831%
muttered,57,0.024831%
o,56,0.024395%
stupid,56,0.024395%
light,56,0.024395%
set,56,0.024395%
understood,56,0.024395%
stop,56,0.024395%
note,56,0.024395%
future,56,0.024395%
real,56,0.024395%
laughter,56,0.024395%
sometimes,55,0.023959%
caretaker,55,0.023959%
shouted,55,0.023959%
tomorrow,55,0.023959%
tears,54,0.023524%
death,54,0.023524%
few,54,0.023524%
friend,54,0.023524%
year,54,0.023524%
glad,54,0.023524%
until,54,0.023524%
several,53,0.023088%
managed,53,0.023088%
somewhat,53,0.023088%
police,53,0.023088%
called,53,0.023088%
work,53,0.023088%
rest,53,0.023088%
among,53,0.023088%
noble,53,0.023088%
daughter,52,0.022652%
therefore,52,0.022652%
pocket,52,0.022652%
step,52,0.022652%
thousand,52,0.022652%
earlier,52,0.022652%
different,52,0.022652%
suffering,51,0.022217%
clearly,51,0.022217%
imagine,51,0.022217%
romanych,51,0.022217%
rushed,51,0.022217%
past,51,0.022217%
running,50,0.021781%
begin,50,0.021781%
frightened,50,0.021781%
wait,50,0.021781%
allow,50,0.021781%
dead,50,0.021781%
extremely,50,0.021781%
lips,50,0.021781%
exactly,50,0.021781%
trying,49,0.021346%
wife,49,0.021346%
answer,49,0.021346%
spoke,49,0.021346%
soul,49,0.021346%
raised,49,0.021346%
crowd,49,0.021346%
fool,49,0.021346%
big,49,0.021346%
official,49,0.021346%
present,49,0.021346%
ought,49,0.021346%
front,49,0.021346%
conversation,48,0.020910%
wall,48,0.020910%
late,48,0.020910%
making,48,0.020910%
lay,47,0.020474%
bye,47,0.020474%
passed,47,0.020474%
regard,47,0.020474%
opinion,47,0.020474%
example,47,0.020474%
student,47,0.020474%
bring,47,0.020474%
wish,47,0.020474%
semyonovich,47,0.020474%
hair,47,0.020474%
ha,47,0.020474%
whispered,47,0.020474%
ones,46,0.020039%
clock,46,0.020039%
truth,46,0.020039%
kind,46,0.020039%
silence,46,0.020039%
andrei,46,0.020039%
beginning,46,0.020039%
notice,46,0.020039%
interrupted,46,0.020039%
doing,46,0.020039%
impossible,45,0.019603%
seeing,45,0.019603%
themselves,45,0.019603%
dare,45,0.019603%
drink,45,0.019603%
illness,45,0.019603%
delirium,45,0.019603%
lady,45,0.019603%
unable,45,0.019603%
women,45,0.019603%
wasn,44,0.019167%
child,44,0.019167%
whether,44,0.019167%
office,44,0.019167%
excuse,44,0.019167%
surprised,44,0.019167%
given,44,0.019167%
story,44,0.019167%
tavern,43,0.018732%
kill,43,0.018732%
romanovich,43,0.018732%
appeared,43,0.018732%
marmeladov,43,0.018732%
agree,43,0.018732%
contrary,43,0.018732%
feet,43,0.018732%
article,43,0.018732%
show,43,0.018732%
use,42,0.018296%
seven,42,0.018296%
233,42,0.018296%
thoughts,42,0.018296%
vile,42,0.018296%
silently,42,0.018296%
naturally,42,0.018296%
kopecks,42,0.018296%
nature,42,0.018296%
mikolka,42,0.018296%
air,42,0.018296%
husband,42,0.018296%
picked,42,0.018296%
spite,41,0.017861%
whatever,41,0.017861%
questions,41,0.017861%
surprise,41,0.017861%
feel,41,0.017861%
men,41,0.017861%
isn,41,0.017861%
pay,41,0.017861%
met,41,0.017861%
german,41,0.017861%
hat,41,0.017861%
repeated,40,0.017425%
main,40,0.017425%
sake,40,0.017425%
anyway,40,0.017425%
hm,40,0.017425%
hold,40,0.017425%
laugh,40,0.017425%
third,40,0.017425%
says,40,0.017425%
probably,40,0.017425%
hope,40,0.017425%
circumstances,40,0.017425%
attention,40,0.017425%
flashed,40,0.017425%
sent,40,0.017425%
turning,40,0.017425%
six,40,0.017425%
others,40,0.017425%
otherwise,40,0.017425%
couldn,40,0.017425%
doctor,39,0.016989%
nikolai,39,0.016989%
breath,39,0.016989%
ready,39,0.016989%
generally,39,0.016989%
stay,39,0.016989%
lie,39,0.016989%
often,39,0.016989%
state,38,0.016554%
listened,38,0.016554%
convinced,38,0.016554%
french,38,0.016554%
try,38,0.016554%
chest,38,0.016554%
worry,38,0.016554%
account,38,0.016554%
telling,38,0.016554%
afterwards,38,0.016554%
continued,38,0.016554%
clothes,38,0.016554%
four,37,0.016118%
cry,37,0.016118%
begun,37,0.016118%
meeting,37,0.016118%
necessary,37,0.016118%
walking,37,0.016118%
character,37,0.016118%
stand,37,0.016118%
serious,37,0.016118%
stone,37,0.016118%
month,37,0.016118%
novel,37,0.016118%
weak,37,0.016118%
gentleman,37,0.016118%
directly,37,0.016118%
despair,36,0.015682%
cold,36,0.015682%
received,36,0.015682%
near,36,0.015682%
sleep,36,0.015682%
curious,36,0.015682%
confess,36,0.015682%
und,36,0.015682%
ilya,36,0.015682%
pity,36,0.015682%
pulled,36,0.015682%
visit,35,0.015247%
dressed,35,0.015247%
murder,35,0.015247%
thirty,35,0.015247%
general,35,0.015247%
sense,35,0.015247%
died,35,0.015247%
outside,35,0.015247%
lot,35,0.015247%
explain,35,0.015247%
strangely,35,0.015247%
close,35,0.015247%
ahead,35,0.015247%
rooms,35,0.015247%
strong,35,0.015247%
seem,35,0.015247%
hem,35,0.015247%
reading,35,0.015247%
important,35,0.015247%
pah,34,0.014811%
barely,34,0.014811%
rouble,34,0.014811%
marriage,34,0.014811%
laughed,34,0.014811%
horror,34,0.014811%
chance,34,0.014811%
pleasure,34,0.014811%
consider,34,0.014811%
ashamed,34,0.014811%
living,34,0.014811%
aside,34,0.014811%
showed,34,0.014811%
mad,34,0.014811%
trouble,34,0.014811%
slowly,34,0.014811%
asking,33,0.014376%
form,33,0.014376%
unexpected,33,0.014376%
loathing,33,0.014376%
across,33,0.014376%
position,33,0.014376%
learned,33,0.014376%
explained,33,0.014376%
glass,33,0.014376%
human,33,0.014376%
paper,33,0.014376%
comes,33,0.014376%
scoundrel,33,0.014376%
nice,33,0.014376%
miss,33,0.014376%
town,33,0.014376%
dress,33,0.014376%
obviously,33,0.014376%
held,33,0.014376%
arms,33,0.014376%
happen,33,0.014376%
realized,33,0.014376%
burst,33,0.014376%
suppose,33,0.014376%
meal,33,0.014376%
empty,33,0.014376%
intelligent,33,0.014376%
move,33,0.014376%
haven,33,0.014376%
funeral,32,0.013940%
locked,32,0.013940%
meanwhile,32,0.013940%
wide,32,0.013940%
expression,32,0.013940%
speaking,32,0.013940%
beating,32,0.013940%
scene,32,0.013940%
asleep,32,0.013940%
respect,32,0.013940%
meet,32,0.013940%
evidence,32,0.013940%
waited,32,0.013940%
murderer,32,0.013940%
service,32,0.013940%
above,32,0.013940%
further,32,0.013940%
wrong,32,0.013940%
instead,32,0.013940%
coat,32,0.013940%
observed,32,0.013940%
white,31,0.013504%
tone,31,0.013504%
call,31,0.013504%
facts,31,0.013504%
becoming,31,0.013504%
dreams,31,0.013504%
happy,31,0.013504%
fully,31,0.013504%
tradesman,31,0.013504%
neva,31,0.013504%
offended,31,0.013504%
incidentally,31,0.013504%
worth,31,0.013504%
embarrassed,31,0.013504%
wine,31,0.013504%
glance,31,0.013504%
notes,31,0.013504%
crying,31,0.013504%
instance,31,0.013504%
carried,31,0.013504%
remained,30,0.013069%
spent,30,0.013069%
stepped,30,0.013069%
mine,30,0.013069%
pass,30,0.013069%
cap,30,0.013069%
forgot,30,0.013069%
caught,30,0.013069%
firmly,30,0.013069%
forth,30,0.013069%
jumped,30,0.013069%
honor,30,0.013069%
dmitri,30,0.013069%
senses,30,0.013069%
eight,30,0.013069%
throw,30,0.013069%
covered,30,0.013069%
finished,30,0.013069%
ended,30,0.013069%
endure,30,0.013069%
months,30,0.013069%
send,30,0.013069%
listening,30,0.013069%
giving,30,0.013069%
black,30,0.013069%
drew,30,0.013069%
deep,30,0.013069%
catch,30,0.013069%
forgive,29,0.012633%
law,29,0.012633%
feelings,29,0.012633%
opposite,29,0.012633%
beforehand,29,0.012633%
attentively,29,0.012633%
seized,29,0.012633%
middle,29,0.012633%
loved,29,0.012633%
red,29,0.012633%
various,29,0.012633%
complete,29,0.012633%
tormented,29,0.012633%
watch,29,0.012633%
ivanovich,29,0.012633%
piece,29,0.012633%
polechka,29,0.012633%
fall,29,0.012633%
prison,29,0.012633%
judge,29,0.012633%
book,29,0.012633%
thus,28,0.012197%
city,28,0.012197%
twice,28,0.012197%
rose,28,0.012197%
yellow,28,0.012197%
talked,28,0.012197%
bridge,28,0.012197%
address,28,0.012197%
candle,28,0.012197%
n,28,0.012197%
slightly,28,0.012197%
knowing,28,0.012197%
dream,28,0.012197%
none,28,0.012197%
reached,28,0.012197%
seriously,28,0.012197%
particular,28,0.012197%
write,28,0.012197%
ill,28,0.012197%
reply,28,0.012197%
threw,28,0.012197%
entirely,28,0.012197%
walk,28,0.012197%
moved,28,0.012197%
care,28,0.012197%
eye,27,0.011762%
body,27,0.011762%
following,27,0.011762%
gets,27,0.011762%
smiled,27,0.011762%
fever,27,0.011762%
public,27,0.011762%
pleased,27,0.011762%
laid,27,0.011762%
wants,27,0.011762%
cut,27,0.011762%
quietly,27,0.011762%
goes,27,0.011762%
liked,27,0.011762%
prokofych,27,0.011762%
torment,27,0.011762%
curiosity,27,0.011762%
thank,27,0.011762%
weren,27,0.011762%
beside,27,0.011762%
ladies,27,0.011762%
memorial,27,0.011762%
hastened,26,0.011326%
passing,26,0.011326%
simple,26,0.011326%
interested,26,0.011326%
boy,26,0.011326%
frenzy,26,0.011326%
spoken,26,0.011326%
best,26,0.011326%
beyond,26,0.011326%
clerk,26,0.011326%
arm,26,0.011326%
lived,26,0.011326%
acquaintance,26,0.011326%
carefully,26,0.011326%
spit,26,0.011326%
society,26,0.011326%
softly,26,0.011326%
trunk,26,0.011326%
invited,26,0.011326%
wearing,26,0.011326%
troubled,26,0.011326%
mouth,26,0.011326%
free,26,0.011326%
stairway,26,0.011326%
staring,26,0.011326%
strength,26,0.011326%
crone,26,0.011326%
impression,25,0.010891%
rage,25,0.010891%
makes,25,0.010891%
sidewalk,25,0.010891%
obvious,25,0.010891%
bent,25,0.010891%
doubt,25,0.010891%
wrote,25,0.010891%
prepared,25,0.010891%
die,25,0.010891%
eat,25,0.010891%
fifteen,25,0.010891%
greatly,25,0.010891%
effort,25,0.010891%
raising,25,0.010891%
bread,25,0.010891%
pillow,25,0.010891%
recently,25,0.010891%
kitchen,25,0.010891%
friends,25,0.010891%
heavy,25,0.010891%
forget,25,0.010891%
addressing,25,0.010891%
criminal,25,0.010891%
shaking,25,0.010891%
altogether,25,0.010891%
widow,25,0.010891%
change,25,0.010891%
