#N Default Universe
#R B3/S23
#S 35 35
9 0
25 0
9 1
10 1
24 1
25 1
9 2
10 2
24 2
25 2
10 3
24 3
12 8
13 8
21 8
22 8
0 9
1 9
2 9
13 9
14 9
20 9
21 9
32 9
33 9
34 9
1 10
2 10
3 10
14 10
15 10
19 10
20 10
31 10
32 10
33 10
8 12
26 12
8 13
9 13
25 13
26 13
9 14
10 14
24 14
25 14
10 15
24 15
9 34
25 34
9 33
10 33
24 33
25 33
9 32
10 32
24 32
25 32
10 31
24 31
12 26
13 26
21 26
22 26
0 25
1 25
2 25
13 25
14 25
20 25
21 25
32 25
33 25
34 25
1 24
2 24
3 24
14 24
15 24
19 24
20 24
31 24
32 24
33 24
8 22
26 22
8 21
9 21
25 21
26 21
9 20
10 20
24 20
25 20
10 19
24 19
